Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product rating count (product.metafields.reviews.rating_count),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Shoe features (product.metafields.shopify.shoe-features),Shoe size (product.metafields.shopify.shoe-size),Sneaker style (product.metafields.shopify.sneaker-style),Toe style (product.metafields.shopify.toe-style),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Rwanda,Price / Rwanda,Compare At Price / Rwanda,Status
adidas-sambae-shoes,,,,,,,,,42,,,,,,,,"",0.0,shopify,5,deny,manual,33000,,true,true,"",https://cdn.shopify.com/s/files/1/0748/5076/2982/files/Sambae_Shoes_Black_JI1350_06_standard.jpg?v=1746568341,4,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
adidas-sambae-shoes,,,,,,,,,43,,,,,,,,"",0.0,shopify,5,deny,manual,33000,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
adidas-sambae-shoes,,,,,,,,,44,,,,,,,,"",0.0,shopify,5,deny,manual,33000,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
adidas-sambae-shoes,,,,,,,,,45,,,,,,,,"",0.0,shopify,5,deny,manual,33000,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
jordan,Jordan,<p></p>,spplyplus,Apparel & Accessories > Shoes,"","",true,Shoe size,41,,,,,,,,"",0.0,shopify,5,deny,manual,35000,,true,true,"",https://cdn.shopify.com/s/files/1/0748/5076/2982/files/B1BC3745-F1D8-4BE3-95C4-97EF33FE6807.jpg?v=1746553276,1,"",false,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
jordan,,,,,,,,,42,,,,,,,,"",0.0,shopify,5,deny,manual,35000,,true,true,"",https://cdn.shopify.com/s/files/1/0748/5076/2982/files/2FF8CF9B-48CF-4B0F-87D6-BB0C7530913B.jpg?v=1746553276,2,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
jordan,,,,,,,,,43,,,,,,,,"",0.0,shopify,5,deny,manual,35000,,true,true,"",https://cdn.shopify.com/s/files/1/0748/5076/2982/files/DF6E41CA-8FA9-4AB9-8599-F7DAFDC93563.jpg?v=1746553276,3,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
jordan,,,,,,,,,44,,,,,,,,"",0.0,shopify,5,deny,manual,35000,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,Lee T-shirt,<p></p>,spplyplus,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,"","",true,Color,white,,Size,l,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",https://cdn.shopify.com/s/files/1/0748/5076/2982/files/382D12E4-D536-4899-A93A-FFAA4F6E7D82.jpg?v=1746553269,1,"",false,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
lee-t-shirt,,,,,,,,,white,,,m,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",https://cdn.shopify.com/s/files/1/0748/5076/2982/files/A4F487E2-2285-48EA-8381-171B4A8A7541.jpg?v=1746553269,2,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
lee-t-shirt,,,,,,,,,white,,,xxl,,,,,"",0.0,shopify,5,deny,manual,23000,3400,true,true,"",https://cdn.shopify.com/s/files/1/0748/5076/2982/files/7179F1E3-EC0F-4ADE-AA38-06579EB58E5C.jpg?v=1746553269,3,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
